agency,route_short_name,stage,stage_from,stage_to,announced,construction,operation,time_diff,period_2,based_on_gtfs
MB,8,1,Alameda Oriente,Toreo,01/06/2020,,,,,
Metro,12,2,Mixcoac,Observatorio,01/06/2020,,,,,
MXB,4,1,Tecámac,Indios Verdes,01/11/2019,01/06/2014,,,,
MB,4,2,San Lázaro,Pantitlán,01/10/2019,,,,,
MB,5,2,San Lázaro,Prepa 1,01/11/2016,01/08/2017,,,,
MB,3,2,Etiopia,Eje 8 Popocatépetl,,,,,,
MB,7,1,Indios Verdes,Campo Marte,01/06/2015,01/01/2017,01/03/2018,26,2018-2019,20190109
MB,6,1,El Rosario ,Martín Carrera,,01/08/2014,01/01/2016,12,2016-2018,20170902
MXB,2,1,La Quebrada,Las Americas,,,01/01/2015,14,2015-2016,20150128
MB,5,1,Río de los Remedios,San Lázaro,,01/03/2013,01/11/2013,6,2013-2015,20141230
MXB,3,1,Chimalhuacán,Pantitlán,,,01/05/2013,7,2013-2015,20141230
Metro,12,1,Mixcoac,Tlahuac,,,01/10/2012,6,2012-2013,20131021
MB,4,1,Buenavista,San Lazaro/Aeropuerto,01/11/2010,01/07/2011,01/04/2012,14,2012-2013,20131021
MB,3,1,Tenacayuca,Etiopia,01/11/2009,01/03/2010,01/02/2011,4,2010-2012,20131021
MXB,1,1,Ciudad Azteca,Ojo de Agua,,,01/10/2010,10,2010-2012,20131021
MB,2,1,Tepalcates,Tacubaya,01/01/2007,01/09/2007,01/12/2009,19,before-2010,20131021
SUB,1,1,Buenavista,Cuautitlán,,,01/05/2008,2,before-2010,20131021
MB,1,2,Dr. Galvez,El Caminero,,,01/03/2008,33,before-2010,20131021
MB,1,1,Indios Verdes,Dr. Galvez,,,01/06/2005,55,before-2010,20131021
Metro,B,2,Villa de Aragón,Ciudad Azteca,,,01/11/2000,11,before-2010,20131021
Metro,B,1,Buenavista,Villa de Aragón,,,01/12/1999,65,before-2010,20131021
Metro,8,1,Garibaldi,Constitución de 1917,,,01/07/1994,35,before-2010,20131021
Metro,A,1,Pantitlán,La Paz,,,01/08/1991,33,before-2010,20131021
Metro,7,4,Tacuba,El Rosario,,,01/11/1988,3,before-2010,20131021
Metro,9,2,Centro Médico,Tacubaya,,,01/08/1988,2,before-2010,20131021
STE,TL1,2,Estadio Azteca,Xochimilco,,,01/06/1988,10,before-2010,20131021
Metro,9,1,Pantitlán,Centro Médico,,,01/08/1987,12,before-2010,20131021
STE,TL1,1,Taxqueña,Estadio Azteca,,,01/08/1986,1,before-2010,20131021
Metro,6,2,Instituto del Petróleo,Martín Carrera,,,01/07/1986,7,before-2010,20131021
Metro,7,3,Tacubaya,Barranca del Muerto,,,01/12/1985,4,before-2010,20131021
Metro,7,2,Auditorio,Tacubaya,,,01/08/1985,8,before-2010,20131021
Metro,7,1,Tacuba,Auditorio,,,01/12/1984,4,before-2010,20131021
Metro,1,5,Zaragoza,Pantitlán,,,01/08/1984,0,before-2010,20131021
Metro,2,3,Tacuba,Cuatro Caminos,,,01/08/1984,8,before-2010,20131021
Metro,6,1,El Rosario,Instituto del Petróleo,,,01/12/1983,4,before-2010,20131021
Metro,3,6,Zapata,Universidad,,,01/08/1983,12,before-2010,20131021
Metro,5,3,La Raza,Politécnico,,,01/08/1982,1,before-2010,20131021
Metro,5,2,Consulado,La Raza,,,01/07/1982,2,before-2010,20131021
Metro,4,2,Candelaria,Santa Anita,,,01/05/1982,5,before-2010,20131021
Metro,5,1,Pantitlán,Consulado,,,01/12/1981,4,before-2010,20131021
Metro,4,1,Martín Carrera,Candelaria,,,01/08/1981,12,before-2010,20131021
Metro,3,5,Centro Médico,Zapata,,,01/08/1980,2,before-2010,20131021
Metro,3,4,Hospital General,Centro Médico,,,01/06/1980,6,before-2010,20131021
Metro,3,3,La Raza,Indios Verdes,,,01/12/1979,16,before-2010,20131021
Metro,3,2,Tlatelolco,La Raza,,,01/08/1978,74,before-2010,20131021
Metro,1,4,Tacubaya,Observatorio,,,01/06/1972,19,before-2010,20131021
Metro,1,3,Juanacatlán,Tacubaya,,,01/11/1970,0,before-2010,20131021
Metro,3,1,Tlatelolco,Hospital General,,,01/11/1970,2,before-2010,20131021
Metro,2,2,Pino Suárez,Tacuba,,,01/09/1970,1,before-2010,20131021
Metro,2,1,Pino Suárez,Taxqueña,,,01/08/1970,4,before-2010,20131021
Metro,1,2,Chapultepec,Juanacatlán,,,01/04/1970,7,before-2010,20131021
Metro,1,1,Zaragoza,Chapultepec,,,01/09/1969,,before-2010,20131021
